timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], temperature.gpu, power.draw [W]
2026/05/11 20:17:14.556, 14087 MiB, 16303 MiB, 99 %, 81, 157.81 W
2026/05/11 20:17:19.557, 14087 MiB, 16303 MiB, 99 %, 82, 154.65 W
2026/05/11 20:17:24.557, 14087 MiB, 16303 MiB, 99 %, 81, 158.37 W
2026/05/11 20:17:29.558, 14087 MiB, 16303 MiB, 99 %, 81, 159.56 W
2026/05/11 20:17:34.558, 14087 MiB, 16303 MiB, 98 %, 82, 158.34 W
2026/05/11 20:17:39.559, 14087 MiB, 16303 MiB, 96 %, 82, 157.91 W
2026/05/11 20:17:44.559, 14087 MiB, 16303 MiB, 99 %, 82, 158.85 W
2026/05/11 20:17:49.560, 14087 MiB, 16303 MiB, 99 %, 82, 158.50 W
2026/05/11 20:17:54.560, 14087 MiB, 16303 MiB, 99 %, 82, 159.04 W
2026/05/11 20:17:59.561, 14087 MiB, 16303 MiB, 98 %, 82, 158.75 W
2026/05/11 20:18:04.561, 14087 MiB, 16303 MiB, 99 %, 82, 158.28 W
2026/05/11 20:18:09.562, 14087 MiB, 16303 MiB, 99 %, 82, 157.86 W
2026/05/11 20:18:14.562, 14087 MiB, 16303 MiB, 99 %, 83, 157.87 W
2026/05/11 20:18:19.563, 14087 MiB, 16303 MiB, 99 %, 83, 158.90 W
2026/05/11 20:18:24.563, 14087 MiB, 16303 MiB, 99 %, 83, 166.89 W
2026/05/11 20:18:29.566, 14087 MiB, 16303 MiB, 99 %, 83, 158.69 W
2026/05/11 20:18:34.567, 14087 MiB, 16303 MiB, 99 %, 84, 158.20 W
2026/05/11 20:18:39.567, 14087 MiB, 16303 MiB, 45 %, 79, 92.43 W
2026/05/11 20:18:44.568, 14087 MiB, 16303 MiB, 91 %, 79, 77.28 W
2026/05/11 20:18:49.568, 14087 MiB, 16303 MiB, 99 %, 81, 146.47 W
2026/05/11 20:18:54.569, 14087 MiB, 16303 MiB, 99 %, 82, 158.11 W
2026/05/11 20:18:59.569, 14087 MiB, 16303 MiB, 99 %, 82, 157.28 W
2026/05/11 20:19:04.570, 14087 MiB, 16303 MiB, 99 %, 82, 159.22 W
2026/05/11 20:19:09.570, 14087 MiB, 16303 MiB, 99 %, 82, 152.84 W
