2026/05/12 00:19:19.035, 14087 MiB, 16303 MiB, 98 %, 82, 159.15 W
2026/05/12 00:19:24.035, 14087 MiB, 16303 MiB, 99 %, 82, 159.32 W
2026/05/12 00:19:29.035, 14087 MiB, 16303 MiB, 99 %, 83, 158.57 W
2026/05/12 00:19:34.036, 14087 MiB, 16303 MiB, 99 %, 83, 159.10 W
2026/05/12 00:19:39.036, 14087 MiB, 16303 MiB, 99 %, 83, 159.12 W
2026/05/12 00:19:44.046, 14087 MiB, 16303 MiB, 99 %, 83, 158.87 W
2026/05/12 00:19:49.046, 14087 MiB, 16303 MiB, 99 %, 83, 156.11 W
2026/05/12 00:19:54.047, 14087 MiB, 16303 MiB, 99 %, 83, 157.82 W
2026/05/12 00:19:59.051, 14087 MiB, 16303 MiB, 97 %, 83, 158.54 W
2026/05/12 00:20:04.056, 14087 MiB, 16303 MiB, 99 %, 83, 158.28 W
2026/05/12 00:20:09.062, 14087 MiB, 16303 MiB, 99 %, 84, 158.34 W
2026/05/12 00:20:14.063, 14087 MiB, 16303 MiB, 99 %, 84, 159.16 W
2026/05/12 00:20:19.065, 14087 MiB, 16303 MiB, 99 %, 84, 158.92 W
2026/05/12 00:20:24.065, 14087 MiB, 16303 MiB, 99 %, 84, 159.07 W
2026/05/12 00:20:29.066, 14087 MiB, 16303 MiB, 99 %, 84, 158.95 W
2026/05/12 00:20:34.066, 14087 MiB, 16303 MiB, 99 %, 84, 159.06 W
2026/05/12 00:20:39.067, 14087 MiB, 16303 MiB, 93 %, 80, 79.10 W
2026/05/12 00:20:44.067, 14087 MiB, 16303 MiB, 93 %, 79, 84.81 W
2026/05/12 00:20:49.068, 14087 MiB, 16303 MiB, 99 %, 81, 160.71 W
2026/05/12 00:20:54.068, 14087 MiB, 16303 MiB, 99 %, 82, 159.41 W
2026/05/12 00:20:59.069, 14087 MiB, 16303 MiB, 99 %, 82, 158.68 W
2026/05/12 00:21:04.069, 14087 MiB, 16303 MiB, 99 %, 82, 159.04 W
2026/05/12 00:21:09.070, 14087 MiB, 16303 MiB, 99 %, 83, 159.67 W
2026/05/12 00:21:14.071, 14087 MiB, 16303 MiB, 99 %, 83, 159.16 W
2026/05/12 00:21:19.071, 14087 MiB, 16303 MiB, 99 %, 83, 159.56 W
2026/05/12 00:21:24.072, 14087 MiB, 16303 MiB, 99 %, 84, 158.04 W
2026/05/12 00:21:29.081, 14087 MiB, 16303 MiB, 97 %, 83, 159.15 W
2026/05/12 00:21:34.082, 14087 MiB, 16303 MiB, 99 %, 83, 159.34 W
2026/05/12 00:21:39.082, 14087 MiB, 16303 MiB, 99 %, 84, 158.69 W
2026/05/12 00:21:44.092, 14087 MiB, 16303 MiB, 99 %, 84, 159.06 W
2026/05/12 00:21:49.092, 14087 MiB, 16303 MiB, 99 %, 84, 160.18 W
2026/05/12 00:21:54.101, 14087 MiB, 16303 MiB, 99 %, 84, 158.85 W
2026/05/12 00:21:59.102, 14087 MiB, 16303 MiB, 99 %, 84, 159.75 W
2026/05/12 00:22:04.103, 14087 MiB, 16303 MiB, 99 %, 84, 159.44 W
2026/05/12 00:22:09.103, 14087 MiB, 16303 MiB, 99 %, 84, 158.99 W
2026/05/12 00:22:14.104, 14087 MiB, 16303 MiB, 99 %, 84, 158.96 W
2026/05/12 00:22:19.104, 14087 MiB, 16303 MiB, 99 %, 84, 158.18 W
2026/05/12 00:22:24.105, 14087 MiB, 16303 MiB, 93 %, 80, 78.92 W
2026/05/12 00:22:29.105, 14087 MiB, 16303 MiB, 93 %, 81, 165.83 W
2026/05/12 00:22:34.106, 14087 MiB, 16303 MiB, 99 %, 82, 155.79 W
2026/05/12 00:22:39.106, 14087 MiB, 16303 MiB, 99 %, 82, 158.62 W
2026/05/12 00:22:44.107, 14087 MiB, 16303 MiB, 98 %, 82, 158.89 W
2026/05/12 00:22:49.107, 14087 MiB, 16303 MiB, 99 %, 82, 156.31 W
2026/05/12 00:22:54.108, 14087 MiB, 16303 MiB, 99 %, 83, 158.16 W
2026/05/12 00:22:59.108, 14087 MiB, 16303 MiB, 99 %, 83, 159.12 W
