2026/05/11 22:59:51.904, 14087 MiB, 16303 MiB, 99 %, 85, 159.24 W
2026/05/11 22:59:56.905, 14087 MiB, 16303 MiB, 99 %, 84, 151.95 W
2026/05/11 23:00:01.905, 14087 MiB, 16303 MiB, 99 %, 85, 160.41 W
2026/05/11 23:00:06.906, 14087 MiB, 16303 MiB, 99 %, 85, 155.89 W
2026/05/11 23:00:11.906, 14087 MiB, 16303 MiB, 97 %, 85, 153.55 W
2026/05/11 23:00:16.907, 14087 MiB, 16303 MiB, 99 %, 85, 159.18 W
2026/05/11 23:00:21.907, 14087 MiB, 16303 MiB, 99 %, 85, 159.20 W
2026/05/11 23:00:26.908, 14087 MiB, 16303 MiB, 99 %, 85, 158.87 W
2026/05/11 23:00:31.908, 14087 MiB, 16303 MiB, 99 %, 85, 156.02 W
2026/05/11 23:00:36.909, 14087 MiB, 16303 MiB, 98 %, 85, 155.22 W
2026/05/11 23:00:41.910, 14087 MiB, 16303 MiB, 99 %, 85, 158.90 W
2026/05/11 23:00:46.910, 14087 MiB, 16303 MiB, 93 %, 81, 80.11 W
2026/05/11 23:00:51.911, 14087 MiB, 16303 MiB, 99 %, 83, 167.41 W
2026/05/11 23:00:56.911, 14087 MiB, 16303 MiB, 99 %, 84, 158.64 W
2026/05/11 23:01:01.912, 14087 MiB, 16303 MiB, 99 %, 84, 160.71 W
2026/05/11 23:01:06.912, 14087 MiB, 16303 MiB, 99 %, 84, 159.09 W
2026/05/11 23:01:11.913, 14087 MiB, 16303 MiB, 99 %, 84, 155.63 W
2026/05/11 23:01:16.913, 14087 MiB, 16303 MiB, 99 %, 84, 157.18 W
2026/05/11 23:01:21.914, 14087 MiB, 16303 MiB, 96 %, 85, 157.33 W
2026/05/11 23:01:26.914, 14087 MiB, 16303 MiB, 99 %, 85, 158.67 W
2026/05/11 23:01:31.915, 14087 MiB, 16303 MiB, 99 %, 85, 159.16 W
2026/05/11 23:01:36.915, 14087 MiB, 16303 MiB, 99 %, 85, 158.78 W
2026/05/11 23:01:41.916, 14087 MiB, 16303 MiB, 99 %, 85, 157.39 W
2026/05/11 23:01:46.916, 14087 MiB, 16303 MiB, 97 %, 85, 158.44 W
2026/05/11 23:01:51.917, 14087 MiB, 16303 MiB, 99 %, 85, 159.14 W
2026/05/11 23:01:56.917, 14087 MiB, 16303 MiB, 99 %, 85, 159.05 W
2026/05/11 23:02:01.918, 14087 MiB, 16303 MiB, 99 %, 85, 150.92 W
2026/05/11 23:02:06.919, 14087 MiB, 16303 MiB, 99 %, 85, 152.88 W
2026/05/11 23:02:11.919, 14087 MiB, 16303 MiB, 97 %, 85, 150.28 W
2026/05/11 23:02:16.920, 14087 MiB, 16303 MiB, 99 %, 86, 158.58 W
2026/05/11 23:02:21.921, 14087 MiB, 16303 MiB, 99 %, 86, 159.12 W
2026/05/11 23:02:26.922, 14087 MiB, 16303 MiB, 0 %, 80, 32.12 W
2026/05/11 23:02:31.924, 14087 MiB, 16303 MiB, 93 %, 81, 80.03 W
2026/05/11 23:02:36.925, 14087 MiB, 16303 MiB, 99 %, 84, 155.58 W
2026/05/11 23:02:41.925, 14087 MiB, 16303 MiB, 98 %, 85, 158.34 W
2026/05/11 23:02:46.926, 14087 MiB, 16303 MiB, 99 %, 85, 159.16 W
2026/05/11 23:02:51.926, 14087 MiB, 16303 MiB, 99 %, 85, 160.92 W
2026/05/11 23:02:56.927, 14087 MiB, 16303 MiB, 99 %, 85, 158.59 W
2026/05/11 23:03:01.928, 14087 MiB, 16303 MiB, 99 %, 85, 159.21 W
2026/05/11 23:03:06.928, 14087 MiB, 16303 MiB, 99 %, 85, 158.99 W
