2026/05/11 22:04:08.222, 14087 MiB, 16303 MiB, 99 %, 85, 157.80 W
2026/05/11 22:04:13.223, 14087 MiB, 16303 MiB, 85 %, 82, 72.31 W
2026/05/11 22:04:18.223, 14087 MiB, 16303 MiB, 93 %, 81, 79.55 W
2026/05/11 22:04:23.224, 14087 MiB, 16303 MiB, 99 %, 83, 152.70 W
2026/05/11 22:04:28.224, 14087 MiB, 16303 MiB, 99 %, 84, 159.30 W
2026/05/11 22:04:33.225, 14087 MiB, 16303 MiB, 99 %, 84, 159.29 W
2026/05/11 22:04:38.225, 14087 MiB, 16303 MiB, 98 %, 84, 158.44 W
2026/05/11 22:04:43.226, 14087 MiB, 16303 MiB, 99 %, 84, 159.24 W
2026/05/11 22:04:48.226, 14087 MiB, 16303 MiB, 99 %, 85, 160.76 W
2026/05/11 22:04:53.227, 14087 MiB, 16303 MiB, 99 %, 85, 157.66 W
2026/05/11 22:04:58.227, 14087 MiB, 16303 MiB, 99 %, 85, 158.10 W
2026/05/11 22:05:03.228, 14087 MiB, 16303 MiB, 99 %, 85, 157.50 W
2026/05/11 22:05:08.229, 14087 MiB, 16303 MiB, 99 %, 85, 149.90 W
2026/05/11 22:05:13.229, 14087 MiB, 16303 MiB, 99 %, 85, 158.82 W
2026/05/11 22:05:18.231, 14087 MiB, 16303 MiB, 97 %, 86, 158.38 W
2026/05/11 22:05:23.231, 14087 MiB, 16303 MiB, 99 %, 85, 159.05 W
2026/05/11 22:05:28.232, 14087 MiB, 16303 MiB, 99 %, 85, 159.01 W
2026/05/11 22:05:33.232, 14087 MiB, 16303 MiB, 99 %, 86, 158.82 W
2026/05/11 22:05:38.233, 14087 MiB, 16303 MiB, 99 %, 85, 158.81 W
2026/05/11 22:05:43.233, 14087 MiB, 16303 MiB, 96 %, 86, 158.23 W
2026/05/11 22:05:48.234, 14087 MiB, 16303 MiB, 99 %, 85, 159.15 W
2026/05/11 22:05:53.235, 14087 MiB, 16303 MiB, 99 %, 85, 158.91 W
2026/05/11 22:05:58.235, 14087 MiB, 16303 MiB, 0 %, 80, 114.46 W
2026/05/11 22:06:03.236, 14087 MiB, 16303 MiB, 93 %, 81, 79.89 W
2026/05/11 22:06:08.236, 14087 MiB, 16303 MiB, 99 %, 83, 160.03 W
2026/05/11 22:06:13.237, 14087 MiB, 16303 MiB, 99 %, 84, 160.87 W
2026/05/11 22:06:18.237, 14087 MiB, 16303 MiB, 99 %, 85, 158.68 W
2026/05/11 22:06:23.238, 14087 MiB, 16303 MiB, 99 %, 85, 158.57 W
2026/05/11 22:06:28.238, 14087 MiB, 16303 MiB, 99 %, 85, 159.09 W
2026/05/11 22:06:33.239, 14087 MiB, 16303 MiB, 99 %, 85, 159.19 W
